cell,month,y,roll3_mean,trend_1,prior_hotspot_freq,neigh_lag1_sum,osm_retail_density,osm_food_drink_density,osm_licensed_count,osm_transport_nodes,osm_road_density_m,centroid_lon,centroid_lat
27,2025-04,1,23.0,-4,1.0,68,112.0,96.0,0,5,5233.185372707451,-0.101845,51.513408
28,2025-04,0,5.333,0,0.0,119,64.0,96.0,2,4,4639.396334071074,-0.098232,51.513408
29,2025-04,1,39.333,-5,1.0,88,144.0,336.0,4,6,5102.7979261949895,-0.094619,51.513408
30,2025-04,1,21.0,13,0.667,99,80.0,112.0,1,12,5738.006812981806,-0.091006,51.513408
31,2025-04,0,14.0,2,0.667,142,512.0,208.0,9,13,6123.273570437473,-0.087394,51.513408
32,2025-04,0,13.333,-2,0.333,125,416.0,384.0,7,7,3891.0455139649252,-0.083781,51.513408
33,2025-04,0,4.667,-1,0.0,154,16.0,64.0,9,2,4248.145542979366,-0.080168,51.513408
34,2025-04,1,15.0,3,0.667,69,144.0,256.0,6,7,5178.538239643103,-0.076555,51.513408
35,2025-04,0,9.333,-3,0.0,61,16.0,112.0,2,1,3626.7383133548465,-0.072942,51.513408
36,2025-04,0,1.667,2,0.0,16,48.0,112.0,5,0,4703.2065780459125,-0.112683,51.515656
37,2025-04,0,5.333,-5,0.0,38,64.0,256.0,2,0,4705.21995689305,-0.10907,51.515656
38,2025-04,0,0.0,0,0.0,83,16.0,112.0,2,2,3771.463215003219,-0.105458,51.515656
39,2025-04,0,7.0,4,0.0,104,32.0,64.0,0,5,4273.907879513262,-0.101845,51.515656
40,2025-04,1,23.667,-5,1.0,104,128.0,176.0,2,10,4678.219288780764,-0.098232,51.515656
41,2025-04,0,4.667,-1,0.0,121,16.0,96.0,3,0,5475.527626092632,-0.094619,51.515656
42,2025-04,0,2.667,2,0.0,129,16.0,128.0,2,1,4513.7437553354,-0.091006,51.515656
43,2025-04,0,5.667,0,0.0,117,48.0,192.0,3,1,2912.949272204903,-0.087394,51.515656
44,2025-04,1,15.0,-2,0.667,162,144.0,192.0,7,7,3750.133321194052,-0.083781,51.515656
45,2025-04,0,8.0,0,0.0,155,48.0,320.0,5,3,5083.697337610419,-0.080168,51.515656
46,2025-04,0,7.333,-4,0.0,136,144.0,304.0,6,1,4691.752992501009,-0.076555,51.515656
47,2025-04,0,0.0,0,0.0,43,80.0,128.0,0,4,3758.837858525135,-0.072942,51.515656
48,2025-04,0,2.333,1,0.0,9,144.0,176.0,1,7,3888.727359484263,-0.112683,51.517904
49,2025-04,0,3.667,-3,0.0,20,256.0,112.0,2,4,4439.100510267371,-0.10907,51.517904
50,2025-04,0,7.333,5,0.0,32,32.0,16.0,2,8,5939.694871443936,-0.105458,51.517904
51,2025-04,1,13.667,-1,0.333,71,16.0,0.0,1,1,4972.325388814089,-0.101845,51.517904
52,2025-04,0,8.0,5,0.0,73,16.0,80.0,0,3,5059.336124728675,-0.098232,51.517904
53,2025-04,0,2.667,-2,0.0,85,16.0,0.0,1,2,4875.025974631033,-0.094619,51.517904
54,2025-04,1,12.0,0,0.0,56,0.0,48.0,1,2,5210.5716847500935,-0.091006,51.517904
55,2025-04,1,18.333,18,0.667,50,176.0,144.0,1,9,5597.982707299784,-0.087394,51.517904
